,!=,#,(,),*,+,",",-,:,:=,;,<,<=,=,>,>=,and,call,do,else,goto,i,if,label,not,null,or,then,while,{,},<<BAND>>,<<BCMP>>,<<BEXPR>>,<<BNOT>>,<<ELIST>>,<<EXPR>>,<<FACTOR>>,<<ID>>,<<LABEL>>,<<NEG>>,<<OPENSTMT>>,<<RELOP>>,<<START>>,<<STMT>>,<<TERM>>,A,L,M,N,S,
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s9,0,0,s11,s13,s29,s10,0,0,0,0,s8,s7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,41,
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,
12,0,0,0,0,0,0,0,0,0,s45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,r17,r17,r17,r17,r17,r17,r17,0,0,r17,r17,r17,r17,r17,r17,r17,r17,0,r17,0,0,0,0,0,0,0,r17,r17,0,0,r17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s47,s46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,0,0,0,r7,0,0,0,0,0,0,0,0,0,0,0,0,s48,0,r7,0,0,0,0,0,0,0,r7,r7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,0,0,0,r2,0,0,0,0,0,0,0,0,0,0,0,0,r2,0,r2,0,0,0,0,0,0,0,r2,r2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,0,0,0,r9,0,0,0,0,0,0,0,0,0,0,0,0,r9,0,r9,0,0,0,0,0,0,0,r9,r9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,0,0,s20,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,s18,0,0,0,0,0,0,0,17,0,49,0,19,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
19,s60,0,0,r5,0,s65,0,0,0,0,0,s61,s62,s59,s63,s64,r5,0,r5,0,0,0,0,0,0,0,r5,r5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,
20,0,0,s20,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,s18,0,0,0,0,0,0,15,17,66,16,0,71,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
21,r13,r13,0,r13,0,r13,r13,0,0,0,r13,r13,r13,r13,r13,r13,r13,0,r13,0,0,0,0,0,0,0,r13,r13,0,0,r13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,r23,r23,0,r23,s76,r23,r23,0,0,0,r23,r23,r23,r23,r23,r23,r23,0,r23,0,0,0,0,0,0,0,r23,r23,0,0,r23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,0,0,s80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,0,0,0,0,0,0,77,0,0,0,0,0,
24,r43,r43,0,r43,r43,r43,r43,0,0,0,r43,r43,r43,r43,r43,r43,r43,0,r43,0,0,0,0,0,0,0,r43,r43,0,0,r43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,r15,r15,0,r15,r15,r15,r15,0,0,0,r15,r15,r15,r15,r15,r15,r15,0,r15,0,0,0,0,0,0,0,r15,r15,0,0,r15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,0,0,0,0,0,0,0,0,0,0,s83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,0,0,0,0,0,0,0,0,0,0,r19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,0,0,s20,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,s18,0,0,0,0,0,0,15,17,84,16,0,19,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
37,0,0,s20,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,s18,0,0,0,0,0,0,15,17,98,16,0,19,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
38,0,0,r21,0,0,0,0,r21,0,0,0,0,0,0,0,0,0,r21,0,0,r21,r21,r21,r21,r21,0,0,0,r21,r21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,0,0,s106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,0,r38,0,0,0,0,0,0,0,0,r38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,0,r39,0,0,0,0,0,0,0,0,r39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,0,0,s80,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,
49,0,0,0,r10,0,0,0,0,0,0,0,0,0,0,0,0,r10,0,r10,0,0,0,0,0,0,0,r10,r10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,0,0,s80,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
59,0,0,r27,0,0,0,0,r27,0,0,0,0,0,0,0,0,0,0,0,0,0,r27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,0,0,r28,0,0,0,0,r28,0,0,0,0,0,0,0,0,0,0,0,0,0,r28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,0,0,r29,0,0,0,0,r29,0,0,0,0,0,0,0,0,0,0,0,0,0,r29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,0,0,r30,0,0,0,0,r30,0,0,0,0,0,0,0,0,0,0,0,0,0,r30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,0,0,r31,0,0,0,0,r31,0,0,0,0,0,0,0,0,0,0,0,0,0,r31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,0,0,r32,0,0,0,0,r32,0,0,0,0,0,0,0,0,0,0,0,0,0,r32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,0,0,s80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,0,0,0,0,0,0,134,0,0,0,0,0,
66,0,0,0,s135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,s60,0,0,r5,0,s65,0,0,0,0,0,s61,s62,s59,s63,s64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,
76,0,0,s80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,25,0,0,0,0,0,0,0,0,0,0,0,0,
77,r24,r24,0,r24,s76,r24,r24,0,0,0,r24,r24,r24,r24,r24,r24,r24,0,r24,0,0,0,0,0,0,0,r24,r24,0,0,r24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,0,0,s80,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
82,0,r35,0,0,0,0,0,0,0,0,r35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s47,s165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s180,0,0,0,0,0,0,0,s47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
106,0,0,s80,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,0,0,0,0,0,0,0,0,0,0,0,187,188,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
108,0,r1,0,0,0,s65,0,0,0,0,r1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s9,0,0,s11,s13,s5,s10,0,0,0,0,s8,s7,0,0,0,0,0,0,0,0,12,0,0,4,0,0,195,0,6,0,0,0,194,
117,0,0,s20,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,s18,0,0,0,0,0,0,196,17,0,16,0,19,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
118,0,0,s20,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,s18,0,0,0,0,0,0,0,17,0,203,0,19,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
126,0,0,0,r4,0,s65,0,0,0,0,0,0,0,0,0,0,r4,0,r4,0,0,0,0,0,0,0,r4,r4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
134,r14,r14,0,r14,s76,r14,r14,0,0,0,r14,r14,r14,r14,r14,r14,r14,0,r14,0,0,0,0,0,0,0,r14,r14,0,0,r14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
135,0,0,0,r6,0,0,0,0,0,0,0,0,0,0,0,0,r6,0,r6,0,0,0,0,0,0,0,r6,r6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
144,r16,r16,0,r16,r16,r16,r16,0,0,0,r16,r16,r16,r16,r16,r16,r16,0,r16,0,0,0,0,0,0,0,r16,r16,0,0,r16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
151,r44,r44,0,r44,r44,r44,r44,0,0,0,r44,r44,r44,r44,r44,r44,r44,0,r44,0,0,0,0,0,0,0,r44,r44,0,0,r44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
156,0,0,0,s144,0,s65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s9,0,0,s11,s13,s29,s10,0,0,0,0,s8,s7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,246,
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,
187,0,0,0,s289,0,0,s290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
188,0,0,0,r11,0,s65,r11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
194,0,r41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,
195,0,r25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
196,0,0,0,r8,0,0,0,0,0,0,0,0,0,0,0,0,s48,0,r8,0,0,0,0,0,0,0,r8,r8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203,0,0,0,r3,0,0,0,0,0,0,0,0,0,0,0,0,r3,0,r3,0,0,0,0,0,0,0,r3,r3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
246,0,0,0,0,0,0,0,0,0,0,r18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s9,0,0,s11,s13,s29,s10,0,0,0,0,s8,s7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,378,
272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s9,0,0,s11,s13,s29,s10,0,0,0,0,s8,s7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,409,
289,0,r37,0,0,0,0,0,0,0,0,r37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
290,0,0,s80,0,0,0,0,s23,0,0,0,0,0,0,0,0,0,0,0,0,0,s13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,24,25,0,21,0,0,0,0,22,0,0,0,0,0,
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,
409,0,r36,0,0,0,0,0,0,0,0,r36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
429,0,0,0,r12,0,s65,r12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,
506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s9,0,0,s11,s13,s5,s10,0,0,0,0,s8,s7,0,0,0,0,0,0,0,0,12,0,0,719,0,0,0,0,6,0,0,0,718,
647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783,0,0,
718,0,r33,0,0,0,0,0,0,0,0,r33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
719,0,r26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s9,0,0,s11,s13,s29,s10,0,0,0,0,s8,s7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,6,0,0,0,718,
