,!=,#,(,),*,+,",",-,:,:=,;,<,<=,=,>,>=,and,call,do,else,goto,i,if,label,not,null,or,then,while,{,},<<BAND>>,<<BCMP>>,<<BEXPR>>,<<BNOT>>,<<ELIST>>,<<EXPR>>,<<FACTOR>>,<<ID>>,<<LABEL>>,<<NEG>>,<<OPENSTMT>>,<<RELOP>>,<<START>>,<<STMT>>,<<TERM>>,A,L,M,N,S,
81,r17,0,0,0,0,r17,0,0,0,0,0,r17,r17,r17,r17,r17,0,0,0,0,0,0,0,0,0,0,0,r17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,0,r35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s47,s165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s166,0,0,0,0,0,0,0,0,0,r7,r7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r2,0,0,0,0,0,0,0,0,0,0,r2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
88,0,0,s90,0,0,0,0,s54,0,0,0,0,0,0,0,0,0,0,0,0,0,s57,0,0,s88,0,0,0,0,0,0,0,87,0,167,0,89,55,56,0,21,0,0,0,0,53,0,0,0,0,0,
89,s60,0,0,0,0,s65,0,0,0,0,0,s61,s62,s59,s63,s64,0,0,0,0,0,0,0,0,0,0,0,r5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,
90,0,0,s72,0,0,0,0,s75,0,0,0,0,0,0,0,0,0,0,0,0,0,s57,0,0,s70,0,0,0,0,0,0,67,69,169,68,0,122,55,25,0,73,0,0,0,0,74,0,0,0,0,0,
91,0,0,0,0,0,0,0,0,0,0,s83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92,0,0,s104,0,0,0,0,s54,0,0,0,0,0,0,0,0,0,0,0,0,0,s57,0,0,s102,0,0,0,0,0,0,99,101,171,100,0,103,55,56,0,105,0,0,0,0,53,0,0,0,0,0,
93,0,0,s172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
97,0,0,s179,0,0,0,0,s176,0,0,0,0,0,0,0,0,0,0,0,0,0,s96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,177,178,0,174,0,0,0,0,175,0,0,0,0,0,
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s180,0,0,0,0,0,0,0,s181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s182,0,r7,0,0,0,0,0,0,0,r7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r2,0,r2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102,0,0,s104,0,0,0,0,s54,0,0,0,0,0,0,0,0,0,0,0,0,0,s57,0,0,s102,0,0,0,0,0,0,0,101,0,183,0,103,55,56,0,105,0,0,0,0,53,0,0,0,0,0,
103,s60,0,0,0,0,s185,0,0,0,0,0,s61,s62,s59,s63,s64,0,0,r5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,
104,0,0,s72,0,0,0,0,s75,0,0,0,0,0,0,0,0,0,0,0,0,0,s57,0,0,s70,0,0,0,0,0,0,67,69,186,68,0,122,55,25,0,73,0,0,0,0,74,0,0,0,0,0,
105,r13,0,0,0,0,r13,0,0,0,0,0,r13,r13,r13,r13,r13,0,0,r13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
106,0,0,s162,0,0,0,0,s159,0,0,0,0,0,0,0,0,0,0,0,0,0,s163,0,0,0,0,0,0,0,0,0,0,0,0,0,187,188,160,161,0,157,0,0,0,0,158,0,0,0,0,0,
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s47,s189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
108,0,r1,0,0,0,s190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
109,0,r13,0,0,0,r13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
110,0,r23,0,0,s191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
111,0,0,s114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,113,0,0,0,0,0,0,192,0,0,0,0,0,
112,0,r43,0,0,r43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
